setup, instances, average start-up time, start-up time std dev, average queue time, scheduling latency
1_worker, 1, 0.0949138, 0.16115959947629555, 0.0, 0.014353499999999998
1_worker, 5, 0.030025, 0.017941962432242466, 0.011291916666666665, 0.019509625
1_worker, 10, 0.07324715999999998, 0.043965435617703136, 0.05513320408163265, 0.01935116326530613
1_worker, 25, 0.23187694399999983, 0.16378766017144533, 0.20740507258064517, 0.02623552419354839
1_worker, 50, 0.41631904000000014, 0.21702702957961342, 0.3813056746987954, 0.03664263453815261
2_worker, 1, 0.09641040000000001, 0.16077849476668202, 0.0, 0.016038999999999998
2_worker, 5, 0.0315504, 0.017867052173204178, 0.013313791666666666, 0.01911054166666667
2_worker, 10, 0.0700447, 0.042297302532549284, 0.05171289795918368, 0.01942897959183673
2_worker, 25, 0.22620572000000003, 0.15685094360231822, 0.20137838709677422, 0.026542540322580636
2_worker, 50, 0.41054480800000004, 0.21170495157663913, 0.37626722891566283, 0.03588151004016063
2_worker, 100, 0.32994046, 0.15843702443093408, 0.2931337171717172, 0.03997312121212121
3_worker, 1, 0.0927238, 0.1612305033985815, 0.0, 0.0121185
3_worker, 5, 0.02969656, 0.016121836468789775, 0.012723000000000003, 0.017667000000000002
3_worker, 10, 0.07958026, 0.05991452967980638, 0.05939369387755101, 0.021554816326530606
3_worker, 25, 0.2633043200000001, 0.18428095370105288, 0.23669355645161289, 0.028606870967741945
3_worker, 50, 0.39187715999999995, 0.20119164115051696, 0.35812554618473874, 0.03526815261044177
3_worker, 100, 0.288119596, 0.19287934848435384, 0.2502689719438879, 0.03838482364729461
4_worker, 1, 0.09704179999999998, 0.1632533079878016, 0.0, 0.0154175
4_worker, 5, 0.02982136, 0.015410995012341028, 0.011954083333333336, 0.018280083333333332
4_worker, 10, 0.06768544000000001, 0.04205418302673826, 0.05040144897959183, 0.01845585714285714
4_worker, 25, 0.23818370400000008, 0.16467974321986412, 0.21372754838709682, 0.026282354838709665
4_worker, 50, 0.3177500439999997, 0.1646708460101, 0.28502982730923704, 0.03395002811244977
4_worker, 100, 0.4109977619999997, 0.1914231785380374, 0.370226601202405, 0.04157354308617236
5_worker, 1, 0.0940116, 0.1610904645801234, 0.0, 0.013473
5_worker, 5, 0.032961199999999996, 0.018931515127955288, 0.013949708333333333, 0.019412875
5_worker, 10, 0.07564694000000001, 0.04542725186423233, 0.05668926530612245, 0.020190734693877558
5_worker, 25, 0.23711616000000008, 0.1621111437478571, 0.21262007258064522, 0.02629999193548387
5_worker, 50, 0.40941424400000015, 0.2213746573312502, 0.37492768273092325, 0.036087779116465844
5_worker, 100, 0.386694906, 0.23563414897697907, 0.3466256172344691, 0.04081577154308616
