setup, instances, average start-up time, start-up time std dev, average queue time, scheduling latency
rr_sleep_0s, 1, 0.09601199999999999, 0.16029299020605986, 0.0, 0.01586825
rr_sleep_0s, 5, 0.035281879999999995, 0.020192714144106533, 0.015132583333333331, 0.02102158333333333
rr_sleep_0s, 10, 0.07241326000000001, 0.04400441591786443, 0.053899836734693875, 0.01977075510204082
rr_sleep_0s, 25, 0.24158053599999996, 0.1727826248765792, 0.21539519354838707, 0.028038258064516125
rr_sleep_0s, 50, 0.5269909600000001, 0.3106396660337092, 0.4846209598393573, 0.0444383092369478
rr_sleep_0s, 100, 4.432463966000003, 9.200196717015503, 4.288059579158318, 0.15326881162324635
rr_sleep_1s, 1, 1.0976406, 0.16405922488369862, 0.0, 1.0156352499999999
rr_sleep_1s, 5, 2.9521333600000004, 1.3958067025739311, 2.016384208333333, 1.0162764166666667
rr_sleep_1s, 10, 5.48581274, 2.897130938279551, 4.558369897959184, 1.0185615510204078
rr_sleep_1s, 25, 13.054630576, 7.310067399996148, 12.13403662096774, 1.0177190645161291
rr_sleep_1s, 50, 25.464456487999993, 14.30261312033835, 24.544814887550206, 1.0178480040160645
rr_sleep_1s, 100, 49.83285606400005, 28.150145928669872, 48.91224471943888, 1.0184480561122256
rr_sleep_5s, 1, 5.1035784, 0.16270838275958635, 0.0, 5.022237499999999
rr_sleep_5s, 5, 14.963615480000003, 7.065588484755999, 10.354978333333335, 5.023139583333333
rr_sleep_5s, 10, 27.487963259999997, 14.397657625185166, 22.92287230612245, 5.023627265306122
rr_sleep_5s, 25, 65.154488784, 36.20089550520489, 60.61548171774195, 5.023935548387095
rr_sleep_5s, 50, 127.59172087200002, 72.09545070306002, 123.05968197590356, 5.024314783132529
rr_sleep_5s, 100, 252.18138767400018, 143.83106350885436, 247.65145647094187, 5.02525475551102
