2024-06-15 10:37:26.903 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57fbd8bcb8-fc45s, Namespace: default, Node: minikube-m02, Timestamp: 1718447846.9036028
2024-06-15 10:37:30.963 Event: Pod Created, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: None, Timestamp: 1718447850.9634886
2024-06-15 10:37:30.974 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447850.9743671
2024-06-15 10:37:30.995 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447850.9950526
2024-06-15 10:37:32.076 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447852.0767295
2024-06-15 10:37:32.090 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447852.0901031
2024-06-15 10:37:40.594 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447860.59409
2024-06-15 10:37:46.972 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57fbd8bcb8-fc45s, Namespace: default, Node: minikube-m02, Timestamp: 1718447866.9727175
2024-06-15 10:37:57.116 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57fbd8bcb8-fc45s, Namespace: default, Node: minikube-m02, Timestamp: 1718447877.1162798
2024-06-15 10:37:57.182 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57fbd8bcb8-fc45s, Namespace: default, Node: minikube-m02, Timestamp: 1718447877.182045
2024-06-15 10:37:57.192 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57fbd8bcb8-fc45s, Namespace: default, Node: minikube-m02, Timestamp: 1718447877.19239
2024-06-15 10:38:01.303 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447881.3031945
2024-06-15 10:38:10.851 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447890.8518708
2024-06-15 10:38:11.233 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447891.2334
2024-06-15 10:38:11.243 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5d5c4479dc-74m7j, Namespace: default, Node: minikube-m02, Timestamp: 1718447891.2438703
2024-06-15 10:38:16.538 Event: Pod Created, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: None, Timestamp: 1718447896.5388374
2024-06-15 10:38:16.552 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447896.5521243
2024-06-15 10:38:16.581 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447896.5816302
2024-06-15 10:38:18.275 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447898.2756245
2024-06-15 10:38:18.278 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447898.2786503
2024-06-15 10:38:21.318 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447901.318796
2024-06-15 10:38:46.878 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447926.8786864
2024-06-15 10:38:51.567 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447931.5676672
2024-06-15 10:38:52.379 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447932.3793592
2024-06-15 10:38:52.389 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59484cbcf9-2r55z, Namespace: default, Node: minikube-m02, Timestamp: 1718447932.3895798
2024-06-15 10:38:54.933 Event: Pod Created, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: None, Timestamp: 1718447934.9331594
2024-06-15 10:38:54.949 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447934.9497042
2024-06-15 10:38:54.978 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447934.9784567
2024-06-15 10:38:56.481 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447936.481873
2024-06-15 10:38:56.493 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447936.4932394
2024-06-15 10:39:00.000 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447940.0008602
2024-06-15 10:39:25.268 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447965.2684755
2024-06-15 10:39:30.174 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447970.1742167
2024-06-15 10:39:30.607 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447970.607157
2024-06-15 10:39:30.617 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-b489dbc65-qncf9, Namespace: default, Node: minikube-m02, Timestamp: 1718447970.6178255
2024-06-15 10:39:36.099 Event: Pod Created, Pod: hello-1-instances-00001-deployment-6b6c84bc58-crxl7, Namespace: default, Node: None, Timestamp: 1718447976.0993228
2024-06-15 10:39:36.113 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b6c84bc58-crxl7, Namespace: default, Node: minikube-m03, Timestamp: 1718447976.1137843
2024-06-15 10:39:36.139 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b6c84bc58-crxl7, Namespace: default, Node: minikube-m03, Timestamp: 1718447976.1392667
2024-06-15 10:39:43.722 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b6c84bc58-crxl7, Namespace: default, Node: minikube-m03, Timestamp: 1718447983.7225924
2024-06-15 10:39:43.738 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b6c84bc58-crxl7, Namespace: default, Node: minikube-m03, Timestamp: 1718447983.7383006
2024-06-15 10:39:50.535 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b6c84bc58-crxl7, Namespace: default, Node: minikube-m03, Timestamp: 1718447990.53509
2024-06-15 10:40:16.429 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b6c84bc58-crxl7, Namespace: default, Node: minikube-m03, Timestamp: 1718448016.4291308
2024-06-15 10:40:20.793 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b6c84bc58-crxl7, Namespace: default, Node: minikube-m03, Timestamp: 1718448020.7933831
2024-06-15 10:40:20.856 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b6c84bc58-crxl7, Namespace: default, Node: minikube-m03, Timestamp: 1718448020.856616
2024-06-15 10:40:21.163 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b6c84bc58-crxl7, Namespace: default, Node: minikube-m03, Timestamp: 1718448021.163347
2024-06-15 10:40:46.674 Event: Pod Created, Pod: hello-10-instances-00001-deployment-555fd84796-pp79l, Namespace: default, Node: None, Timestamp: 1718448046.674261
2024-06-15 10:40:46.684 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-pp79l, Namespace: default, Node: minikube-m02, Timestamp: 1718448046.6848607
2024-06-15 10:40:46.707 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-pp79l, Namespace: default, Node: minikube-m02, Timestamp: 1718448046.7075539
2024-06-15 10:40:46.796 Event: Pod Created, Pod: hello-10-instances-00001-deployment-555fd84796-7c6dn, Namespace: default, Node: None, Timestamp: 1718448046.7959833
2024-06-15 10:40:46.807 Event: Pod Created, Pod: hello-10-instances-00001-deployment-555fd84796-zvwts, Namespace: default, Node: None, Timestamp: 1718448046.807195
2024-06-15 10:40:46.809 Event: Pod Created, Pod: hello-10-instances-00001-deployment-555fd84796-rgbmg, Namespace: default, Node: None, Timestamp: 1718448046.8097649
2024-06-15 10:40:46.812 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-7c6dn, Namespace: default, Node: minikube-m02, Timestamp: 1718448046.8122795
2024-06-15 10:40:46.815 Event: Pod Created, Pod: hello-10-instances-00001-deployment-555fd84796-vzpkl, Namespace: default, Node: None, Timestamp: 1718448046.8159568
2024-06-15 10:40:46.818 Event: Pod Created, Pod: hello-10-instances-00001-deployment-555fd84796-srq72, Namespace: default, Node: None, Timestamp: 1718448046.818091
2024-06-15 10:40:46.820 Event: Pod Created, Pod: hello-10-instances-00001-deployment-555fd84796-wfnhh, Namespace: default, Node: None, Timestamp: 1718448046.8206487
2024-06-15 10:40:46.822 Event: Pod Created, Pod: hello-10-instances-00001-deployment-555fd84796-vtxqj, Namespace: default, Node: None, Timestamp: 1718448046.8229706
2024-06-15 10:40:46.826 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-zvwts, Namespace: default, Node: minikube-m02, Timestamp: 1718448046.8267908
2024-06-15 10:40:46.829 Event: Pod Created, Pod: hello-10-instances-00001-deployment-555fd84796-gv95d, Namespace: default, Node: None, Timestamp: 1718448046.829348
2024-06-15 10:40:46.831 Event: Pod Created, Pod: hello-10-instances-00001-deployment-555fd84796-nhpxt, Namespace: default, Node: None, Timestamp: 1718448046.831583
2024-06-15 10:40:46.834 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-7c6dn, Namespace: default, Node: minikube-m02, Timestamp: 1718448046.8343484
2024-06-15 10:40:46.842 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-zvwts, Namespace: default, Node: minikube-m02, Timestamp: 1718448046.8429396
2024-06-15 10:40:46.845 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-rgbmg, Namespace: default, Node: minikube-m02, Timestamp: 1718448046.8455713
2024-06-15 10:40:46.856 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-rgbmg, Namespace: default, Node: minikube-m02, Timestamp: 1718448046.85607
2024-06-15 10:40:46.858 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-vzpkl, Namespace: default, Node: minikube-m04, Timestamp: 1718448046.8587868
2024-06-15 10:40:46.887 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-vzpkl, Namespace: default, Node: minikube-m04, Timestamp: 1718448046.8874164
2024-06-15 10:40:46.890 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-srq72, Namespace: default, Node: minikube-m02, Timestamp: 1718448046.889985
2024-06-15 10:40:46.898 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-srq72, Namespace: default, Node: minikube-m02, Timestamp: 1718448046.8987455
2024-06-15 10:40:46.902 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-wfnhh, Namespace: default, Node: minikube-m02, Timestamp: 1718448046.9022994
2024-06-15 10:40:46.914 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-wfnhh, Namespace: default, Node: minikube-m02, Timestamp: 1718448046.9144533
2024-06-15 10:40:46.928 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-vtxqj, Namespace: default, Node: minikube-m03, Timestamp: 1718448046.928816
2024-06-15 10:40:46.937 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-vtxqj, Namespace: default, Node: minikube-m03, Timestamp: 1718448046.937536
2024-06-15 10:40:46.942 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-gv95d, Namespace: default, Node: minikube-m04, Timestamp: 1718448046.9425075
2024-06-15 10:40:46.958 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-gv95d, Namespace: default, Node: minikube-m04, Timestamp: 1718448046.9583972
2024-06-15 10:40:46.963 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-nhpxt, Namespace: default, Node: minikube-m02, Timestamp: 1718448046.9637485
2024-06-15 10:40:46.976 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-nhpxt, Namespace: default, Node: minikube-m02, Timestamp: 1718448046.976404
2024-06-15 10:40:48.014 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-pp79l, Namespace: default, Node: minikube-m02, Timestamp: 1718448048.0143654
2024-06-15 10:40:48.033 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-pp79l, Namespace: default, Node: minikube-m02, Timestamp: 1718448048.0334022
2024-06-15 10:40:48.049 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-zvwts, Namespace: default, Node: minikube-m02, Timestamp: 1718448048.0495956
2024-06-15 10:40:49.002 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-vtxqj, Namespace: default, Node: minikube-m03, Timestamp: 1718448049.0026832
2024-06-15 10:40:49.017 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-vtxqj, Namespace: default, Node: minikube-m03, Timestamp: 1718448049.0175343
2024-06-15 10:40:49.032 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-rgbmg, Namespace: default, Node: minikube-m02, Timestamp: 1718448049.0319808
2024-06-15 10:40:49.050 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-wfnhh, Namespace: default, Node: minikube-m02, Timestamp: 1718448049.0503552
2024-06-15 10:40:49.074 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-7c6dn, Namespace: default, Node: minikube-m02, Timestamp: 1718448049.0745308
2024-06-15 10:40:49.079 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-srq72, Namespace: default, Node: minikube-m02, Timestamp: 1718448049.0797527
2024-06-15 10:40:49.107 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-rgbmg, Namespace: default, Node: minikube-m02, Timestamp: 1718448049.107657
2024-06-15 10:40:49.129 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-nhpxt, Namespace: default, Node: minikube-m02, Timestamp: 1718448049.1299522
2024-06-15 10:40:50.065 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-nhpxt, Namespace: default, Node: minikube-m02, Timestamp: 1718448050.0656588
2024-06-15 10:40:50.078 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-srq72, Namespace: default, Node: minikube-m02, Timestamp: 1718448050.0789433
2024-06-15 10:40:54.249 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-gv95d, Namespace: default, Node: minikube-m04, Timestamp: 1718448054.2491698
2024-06-15 10:40:54.264 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-vzpkl, Namespace: default, Node: minikube-m04, Timestamp: 1718448054.2644546
2024-06-15 10:40:54.278 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-gv95d, Namespace: default, Node: minikube-m04, Timestamp: 1718448054.2783265
2024-06-15 10:41:44.696 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-vtxqj, Namespace: default, Node: minikube-m03, Timestamp: 1718448104.6965475
2024-06-15 10:41:44.729 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-zvwts, Namespace: default, Node: minikube-m02, Timestamp: 1718448104.729082
2024-06-15 10:41:44.761 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-pp79l, Namespace: default, Node: minikube-m02, Timestamp: 1718448104.761632
2024-06-15 10:41:44.790 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-wfnhh, Namespace: default, Node: minikube-m02, Timestamp: 1718448104.7906473
2024-06-15 10:41:44.797 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-nhpxt, Namespace: default, Node: minikube-m02, Timestamp: 1718448104.7974172
2024-06-15 10:41:44.831 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-rgbmg, Namespace: default, Node: minikube-m02, Timestamp: 1718448104.831095
2024-06-15 10:41:44.862 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-7c6dn, Namespace: default, Node: minikube-m02, Timestamp: 1718448104.8628814
2024-06-15 10:41:44.891 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-gv95d, Namespace: default, Node: minikube-m04, Timestamp: 1718448104.8914356
2024-06-15 10:41:44.903 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-vzpkl, Namespace: default, Node: minikube-m04, Timestamp: 1718448104.9038167
2024-06-15 10:41:44.926 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-srq72, Namespace: default, Node: minikube-m02, Timestamp: 1718448104.9261248
2024-06-15 10:42:07.012 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-pp79l, Namespace: default, Node: minikube-m02, Timestamp: 1718448127.012624
2024-06-15 10:42:07.122 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-7c6dn, Namespace: default, Node: minikube-m02, Timestamp: 1718448127.1225088
2024-06-15 10:42:07.138 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-zvwts, Namespace: default, Node: minikube-m02, Timestamp: 1718448127.1388156
2024-06-15 10:42:07.157 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-rgbmg, Namespace: default, Node: minikube-m02, Timestamp: 1718448127.157757
2024-06-15 10:42:07.170 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-vzpkl, Namespace: default, Node: minikube-m04, Timestamp: 1718448127.1700807
2024-06-15 10:42:07.200 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-srq72, Namespace: default, Node: minikube-m02, Timestamp: 1718448127.200901
2024-06-15 10:42:07.223 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-wfnhh, Namespace: default, Node: minikube-m02, Timestamp: 1718448127.2235289
2024-06-15 10:42:07.243 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-vtxqj, Namespace: default, Node: minikube-m03, Timestamp: 1718448127.2433908
2024-06-15 10:42:07.264 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-gv95d, Namespace: default, Node: minikube-m04, Timestamp: 1718448127.2648556
