2024-06-16 21:02:36.944 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m02, Timestamp: 1718571756.944482
2024-06-16 21:02:44.122 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m02, Timestamp: 1718571764.122952
2024-06-16 21:02:44.983 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m02, Timestamp: 1718571764.9830167
2024-06-16 21:03:11.090 Event: Pod Created, Pod: hello-1-instances-00001-deployment-58bc865cf6-thgjr, Namespace: default, Node: None, Timestamp: 1718571791.0903125
2024-06-16 21:03:11.507 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-58bc865cf6-thgjr, Namespace: default, Node: minikube-m02, Timestamp: 1718571791.5074666
2024-06-16 21:03:11.524 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-58bc865cf6-thgjr, Namespace: default, Node: minikube-m02, Timestamp: 1718571791.5247815
2024-06-16 21:03:21.205 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-58bc865cf6-thgjr, Namespace: default, Node: minikube-m02, Timestamp: 1718571801.2059026
2024-06-16 21:03:21.221 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-58bc865cf6-thgjr, Namespace: default, Node: minikube-m02, Timestamp: 1718571801.2218893
2024-06-16 21:03:25.894 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-58bc865cf6-thgjr, Namespace: default, Node: minikube-m02, Timestamp: 1718571805.894439
2024-06-16 21:03:51.828 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-58bc865cf6-thgjr, Namespace: default, Node: minikube-m02, Timestamp: 1718571831.8285365
2024-06-16 21:03:56.105 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-58bc865cf6-thgjr, Namespace: default, Node: minikube-m02, Timestamp: 1718571836.105897
2024-06-16 21:03:56.408 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-58bc865cf6-thgjr, Namespace: default, Node: minikube-m02, Timestamp: 1718571836.4087284
2024-06-16 21:03:56.420 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-58bc865cf6-thgjr, Namespace: default, Node: minikube-m02, Timestamp: 1718571836.4199753
2024-06-16 21:03:57.061 Event: Pod Created, Pod: hello-1-instances-00001-deployment-c8cbbb487-nf4x9, Namespace: default, Node: None, Timestamp: 1718571837.0612624
2024-06-16 21:03:57.072 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c8cbbb487-nf4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718571837.072491
2024-06-16 21:03:57.094 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c8cbbb487-nf4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718571837.0941103
2024-06-16 21:03:58.422 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c8cbbb487-nf4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718571838.4224575
2024-06-16 21:03:58.436 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c8cbbb487-nf4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718571838.4365463
2024-06-16 21:04:02.136 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c8cbbb487-nf4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718571842.1366153
2024-06-16 21:04:27.397 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c8cbbb487-nf4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718571867.3978546
2024-06-16 21:04:32.107 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c8cbbb487-nf4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718571872.1077704
2024-06-16 21:04:32.616 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c8cbbb487-nf4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718571872.6162112
2024-06-16 21:04:32.626 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c8cbbb487-nf4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718571872.6259904
2024-06-16 21:04:38.126 Event: Pod Created, Pod: hello-1-instances-00001-deployment-5956f78dbf-bwjbd, Namespace: default, Node: None, Timestamp: 1718571878.1268017
2024-06-16 21:04:38.147 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5956f78dbf-bwjbd, Namespace: default, Node: minikube-m02, Timestamp: 1718571878.147697
2024-06-16 21:04:38.169 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5956f78dbf-bwjbd, Namespace: default, Node: minikube-m02, Timestamp: 1718571878.1699636
2024-06-16 21:04:39.713 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5956f78dbf-bwjbd, Namespace: default, Node: minikube-m02, Timestamp: 1718571879.7136521
2024-06-16 21:04:39.725 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5956f78dbf-bwjbd, Namespace: default, Node: minikube-m02, Timestamp: 1718571879.725812
2024-06-16 21:04:42.952 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5956f78dbf-bwjbd, Namespace: default, Node: minikube-m02, Timestamp: 1718571882.9524252
2024-06-16 21:05:08.464 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5956f78dbf-bwjbd, Namespace: default, Node: minikube-m02, Timestamp: 1718571908.4645789
2024-06-16 21:05:13.228 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5956f78dbf-bwjbd, Namespace: default, Node: minikube-m02, Timestamp: 1718571913.228865
2024-06-16 21:05:13.920 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5956f78dbf-bwjbd, Namespace: default, Node: minikube-m02, Timestamp: 1718571913.9200466
2024-06-16 21:05:13.930 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5956f78dbf-bwjbd, Namespace: default, Node: minikube-m02, Timestamp: 1718571913.9305732
2024-06-16 21:05:19.303 Event: Pod Created, Pod: hello-1-instances-00001-deployment-57c9b9c55c-gpgt4, Namespace: default, Node: None, Timestamp: 1718571919.303582
