2024-06-17 07:51:55.336 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m04, Timestamp: 1718610715.3366563
2024-06-17 07:51:55.982 Event: Pod Scheduled, Pod: prometheus-prometheus-kube-prometheus-prometheus-0, Namespace: default, Node: minikube-m04, Timestamp: 1718610715.9824858
2024-06-17 07:52:14.411 Event: Pod Created, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: None, Timestamp: 1718610734.41138
2024-06-17 07:52:14.827 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718610734.8275456
2024-06-17 07:52:14.840 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718610734.840624
2024-06-17 07:53:00.111 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718610780.111449
2024-06-17 07:53:00.125 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718610780.1251335
2024-06-17 07:53:04.448 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718610784.448334
2024-06-17 07:53:25.144 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718610805.1447885
2024-06-17 07:53:34.653 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718610814.653942
2024-06-17 07:53:35.221 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718610815.2217915
2024-06-17 07:53:35.236 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-787f4f5fff-xp4x9, Namespace: default, Node: minikube-m02, Timestamp: 1718610815.2368996
2024-06-17 07:53:45.430 Event: Pod Created, Pod: hello-1-instances-00001-deployment-6b954d46d9-x7qsl, Namespace: default, Node: None, Timestamp: 1718610825.4303958
2024-06-17 07:53:45.441 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b954d46d9-x7qsl, Namespace: default, Node: minikube-m02, Timestamp: 1718610825.4415216
2024-06-17 07:53:45.477 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b954d46d9-x7qsl, Namespace: default, Node: minikube-m02, Timestamp: 1718610825.4771836
2024-06-17 07:53:47.304 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b954d46d9-x7qsl, Namespace: default, Node: minikube-m02, Timestamp: 1718610827.3043525
2024-06-17 07:53:47.319 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b954d46d9-x7qsl, Namespace: default, Node: minikube-m02, Timestamp: 1718610827.3193042
2024-06-17 07:53:55.238 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b954d46d9-x7qsl, Namespace: default, Node: minikube-m02, Timestamp: 1718610835.2381606
2024-06-17 07:54:15.759 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b954d46d9-x7qsl, Namespace: default, Node: minikube-m02, Timestamp: 1718610855.7594123
2024-06-17 07:54:25.461 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b954d46d9-x7qsl, Namespace: default, Node: minikube-m02, Timestamp: 1718610865.4619555
2024-06-17 07:54:26.473 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b954d46d9-x7qsl, Namespace: default, Node: minikube-m02, Timestamp: 1718610866.4733021
2024-06-17 07:54:26.493 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b954d46d9-x7qsl, Namespace: default, Node: minikube-m02, Timestamp: 1718610866.4930592
2024-06-17 07:54:36.341 Event: Pod Created, Pod: hello-1-instances-00001-deployment-6664cd475b-zpmv6, Namespace: default, Node: None, Timestamp: 1718610876.3416348
2024-06-17 07:54:36.352 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6664cd475b-zpmv6, Namespace: default, Node: minikube-m02, Timestamp: 1718610876.3528678
2024-06-17 07:54:36.375 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6664cd475b-zpmv6, Namespace: default, Node: minikube-m02, Timestamp: 1718610876.3754494
2024-06-17 07:54:37.512 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6664cd475b-zpmv6, Namespace: default, Node: minikube-m02, Timestamp: 1718610877.5122294
