2024-06-15 18:20:11.876 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-cf5ddff54-2g9lz, Namespace: default, Node: minikube-m02, Timestamp: 1718475611.876793
2024-06-15 18:20:11.890 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-cf5ddff54-2g9lz, Namespace: default, Node: minikube-m02, Timestamp: 1718475611.8909323
2024-06-15 18:20:14.275 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-cf5ddff54-2g9lz, Namespace: default, Node: minikube-m02, Timestamp: 1718475614.275966
2024-06-15 18:20:35.094 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-cf5ddff54-2g9lz, Namespace: default, Node: minikube-m02, Timestamp: 1718475635.0945325
2024-06-15 18:20:45.118 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-cf5ddff54-2g9lz, Namespace: default, Node: minikube-m02, Timestamp: 1718475645.1187427
2024-06-15 18:20:46.029 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-cf5ddff54-2g9lz, Namespace: default, Node: minikube-m02, Timestamp: 1718475646.028989
2024-06-15 18:20:46.039 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-cf5ddff54-2g9lz, Namespace: default, Node: minikube-m02, Timestamp: 1718475646.0394812
2024-06-15 18:20:50.544 Event: Pod Created, Pod: hello-1-instances-00001-deployment-5b7bb764ff-5drvz, Namespace: default, Node: None, Timestamp: 1718475650.5442064
2024-06-15 18:20:55.568 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5b7bb764ff-5drvz, Namespace: default, Node: minikube-m03, Timestamp: 1718475655.5685716
2024-06-15 18:20:55.584 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5b7bb764ff-5drvz, Namespace: default, Node: minikube-m03, Timestamp: 1718475655.5843544
2024-06-15 18:21:30.862 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5b7bb764ff-5drvz, Namespace: default, Node: minikube-m03, Timestamp: 1718475690.8625836
2024-06-15 18:21:31.875 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5b7bb764ff-5drvz, Namespace: default, Node: minikube-m03, Timestamp: 1718475691.875322
2024-06-15 18:21:46.017 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5b7bb764ff-5drvz, Namespace: default, Node: minikube-m03, Timestamp: 1718475706.0178206
2024-06-15 18:21:47.010 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5b7bb764ff-5drvz, Namespace: default, Node: minikube-m03, Timestamp: 1718475707.0106416
2024-06-15 18:21:51.245 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5b7bb764ff-5drvz, Namespace: default, Node: minikube-m03, Timestamp: 1718475711.245595
2024-06-15 18:22:15.887 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5b7bb764ff-5drvz, Namespace: default, Node: minikube-m03, Timestamp: 1718475735.887433
2024-06-15 18:22:21.490 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5b7bb764ff-5drvz, Namespace: default, Node: minikube-m03, Timestamp: 1718475741.4903069
2024-06-15 18:22:22.134 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5b7bb764ff-5drvz, Namespace: default, Node: minikube-m03, Timestamp: 1718475742.1348188
2024-06-15 18:22:22.155 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5b7bb764ff-5drvz, Namespace: default, Node: minikube-m03, Timestamp: 1718475742.155277
2024-06-15 18:22:27.521 Event: Pod Created, Pod: hello-1-instances-00001-deployment-f9dcf66ff-b5cp2, Namespace: default, Node: None, Timestamp: 1718475747.5219288
2024-06-15 18:22:32.538 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-f9dcf66ff-b5cp2, Namespace: default, Node: minikube-m04, Timestamp: 1718475752.5386376
2024-06-15 18:22:32.549 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-f9dcf66ff-b5cp2, Namespace: default, Node: minikube-m04, Timestamp: 1718475752.549335
2024-06-15 18:22:39.417 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-f9dcf66ff-b5cp2, Namespace: default, Node: minikube-m04, Timestamp: 1718475759.4179428
2024-06-15 18:22:39.431 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-f9dcf66ff-b5cp2, Namespace: default, Node: minikube-m04, Timestamp: 1718475759.4313655
2024-06-15 18:22:42.448 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-f9dcf66ff-b5cp2, Namespace: default, Node: minikube-m04, Timestamp: 1718475762.4480267
2024-06-15 18:23:02.861 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-f9dcf66ff-b5cp2, Namespace: default, Node: minikube-m04, Timestamp: 1718475782.8619237
2024-06-15 18:23:12.700 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-f9dcf66ff-b5cp2, Namespace: default, Node: minikube-m04, Timestamp: 1718475792.700217
2024-06-15 18:23:13.538 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-f9dcf66ff-b5cp2, Namespace: default, Node: minikube-m04, Timestamp: 1718475793.5381978
2024-06-15 18:23:13.549 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-f9dcf66ff-b5cp2, Namespace: default, Node: minikube-m04, Timestamp: 1718475793.54914
2024-06-15 18:23:18.627 Event: Pod Created, Pod: hello-1-instances-00001-deployment-5f4cdb87b5-xz97l, Namespace: default, Node: None, Timestamp: 1718475798.627585
2024-06-15 18:23:23.652 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f4cdb87b5-xz97l, Namespace: default, Node: minikube-m02, Timestamp: 1718475803.6526117
2024-06-15 18:23:23.666 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f4cdb87b5-xz97l, Namespace: default, Node: minikube-m02, Timestamp: 1718475803.6660397
2024-06-15 18:23:24.562 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f4cdb87b5-xz97l, Namespace: default, Node: minikube-m02, Timestamp: 1718475804.5624883
2024-06-15 18:23:24.575 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f4cdb87b5-xz97l, Namespace: default, Node: minikube-m02, Timestamp: 1718475804.5753708
2024-06-15 18:23:28.576 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f4cdb87b5-xz97l, Namespace: default, Node: minikube-m02, Timestamp: 1718475808.5768332
2024-06-15 18:23:53.973 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f4cdb87b5-xz97l, Namespace: default, Node: minikube-m02, Timestamp: 1718475833.973866
2024-06-15 18:23:58.792 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f4cdb87b5-xz97l, Namespace: default, Node: minikube-m02, Timestamp: 1718475838.7928574
2024-06-15 18:23:59.711 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f4cdb87b5-xz97l, Namespace: default, Node: minikube-m02, Timestamp: 1718475839.7117925
