2024-06-16 23:00:35.995 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-f6fb9b647-p2dl9, Namespace: default, Node: minikube-m02, Timestamp: 1718578835.995817
2024-06-16 23:00:36.671 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-f6fb9b647-p2dl9, Namespace: default, Node: minikube-m02, Timestamp: 1718578836.6715264
2024-06-16 23:00:37.570 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-f6fb9b647-p2dl9, Namespace: default, Node: minikube-m02, Timestamp: 1718578837.570833
2024-06-16 23:00:37.582 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-f6fb9b647-p2dl9, Namespace: default, Node: minikube-m02, Timestamp: 1718578837.5822558
2024-06-16 23:00:45.936 Event: Pod Created, Pod: hello-1-instances-00001-deployment-7c57b986bb-zzrlx, Namespace: default, Node: None, Timestamp: 1718578845.9359777
2024-06-16 23:00:45.946 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7c57b986bb-zzrlx, Namespace: default, Node: minikube-m02, Timestamp: 1718578845.946235
2024-06-16 23:00:45.969 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7c57b986bb-zzrlx, Namespace: default, Node: minikube-m02, Timestamp: 1718578845.9694917
2024-06-16 23:00:47.634 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7c57b986bb-zzrlx, Namespace: default, Node: minikube-m02, Timestamp: 1718578847.6341827
2024-06-16 23:00:47.646 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7c57b986bb-zzrlx, Namespace: default, Node: minikube-m02, Timestamp: 1718578847.6465235
2024-06-16 23:00:55.759 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7c57b986bb-zzrlx, Namespace: default, Node: minikube-m02, Timestamp: 1718578855.7590868
2024-06-16 23:01:16.262 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7c57b986bb-zzrlx, Namespace: default, Node: minikube-m02, Timestamp: 1718578876.2624571
2024-06-16 23:01:26.016 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7c57b986bb-zzrlx, Namespace: default, Node: minikube-m02, Timestamp: 1718578886.0168853
2024-06-16 23:01:26.766 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7c57b986bb-zzrlx, Namespace: default, Node: minikube-m02, Timestamp: 1718578886.7664738
2024-06-16 23:01:26.788 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7c57b986bb-zzrlx, Namespace: default, Node: minikube-m02, Timestamp: 1718578886.7886217
2024-06-16 23:01:36.715 Event: Pod Created, Pod: hello-1-instances-00001-deployment-c68768965-fvd9b, Namespace: default, Node: None, Timestamp: 1718578896.7150197
2024-06-16 23:01:36.725 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c68768965-fvd9b, Namespace: default, Node: minikube-m02, Timestamp: 1718578896.72553
2024-06-16 23:01:36.748 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c68768965-fvd9b, Namespace: default, Node: minikube-m02, Timestamp: 1718578896.748014
2024-06-16 23:01:37.811 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-c68768965-fvd9b, Namespace: default, Node: minikube-m02, Timestamp: 1718578897.8116782
