2024-06-15 17:53:13.275 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-946f98f46-m8xx2, Namespace: default, Node: minikube-m02, Timestamp: 1718473993.2749846
2024-06-15 17:53:17.997 Event: Pod Created, Pod: hello-1-instances-00001-deployment-7cc97b5584-9969m, Namespace: default, Node: None, Timestamp: 1718473997.9978402
2024-06-15 17:53:18.013 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7cc97b5584-9969m, Namespace: default, Node: minikube-m03, Timestamp: 1718473998.0135818
2024-06-15 17:53:18.035 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7cc97b5584-9969m, Namespace: default, Node: minikube-m03, Timestamp: 1718473998.035615
2024-06-15 17:53:44.330 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7cc97b5584-9969m, Namespace: default, Node: minikube-m03, Timestamp: 1718474024.3304372
2024-06-15 17:53:44.343 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7cc97b5584-9969m, Namespace: default, Node: minikube-m03, Timestamp: 1718474024.3438375
2024-06-15 17:53:48.173 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7cc97b5584-9969m, Namespace: default, Node: minikube-m03, Timestamp: 1718474028.173878
2024-06-15 17:54:08.342 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7cc97b5584-9969m, Namespace: default, Node: minikube-m03, Timestamp: 1718474048.3429475
2024-06-15 17:54:18.417 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7cc97b5584-9969m, Namespace: default, Node: minikube-m03, Timestamp: 1718474058.4171262
2024-06-15 17:54:18.451 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7cc97b5584-9969m, Namespace: default, Node: minikube-m03, Timestamp: 1718474058.45123
2024-06-15 17:54:18.746 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7cc97b5584-9969m, Namespace: default, Node: minikube-m03, Timestamp: 1718474058.7468982
2024-06-15 17:54:24.407 Event: Pod Created, Pod: hello-1-instances-00001-deployment-78f4d5c59d-ftvk9, Namespace: default, Node: None, Timestamp: 1718474064.4071887
2024-06-15 17:54:24.420 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-78f4d5c59d-ftvk9, Namespace: default, Node: minikube-m04, Timestamp: 1718474064.4206827
2024-06-15 17:54:24.441 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-78f4d5c59d-ftvk9, Namespace: default, Node: minikube-m04, Timestamp: 1718474064.441207
2024-06-15 17:54:58.920 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-78f4d5c59d-ftvk9, Namespace: default, Node: minikube-m04, Timestamp: 1718474098.9207985
2024-06-15 17:55:01.939 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-78f4d5c59d-ftvk9, Namespace: default, Node: minikube-m04, Timestamp: 1718474101.9398549
2024-06-15 17:55:01.951 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-78f4d5c59d-ftvk9, Namespace: default, Node: minikube-m04, Timestamp: 1718474101.951779
2024-06-15 17:55:04.878 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-78f4d5c59d-ftvk9, Namespace: default, Node: minikube-m04, Timestamp: 1718474104.8784094
2024-06-15 17:55:34.746 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-78f4d5c59d-ftvk9, Namespace: default, Node: minikube-m04, Timestamp: 1718474134.7469594
2024-06-15 17:55:35.097 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-78f4d5c59d-ftvk9, Namespace: default, Node: minikube-m04, Timestamp: 1718474135.0975015
2024-06-15 17:55:36.088 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-78f4d5c59d-ftvk9, Namespace: default, Node: minikube-m04, Timestamp: 1718474136.0887775
2024-06-15 17:55:36.100 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-78f4d5c59d-ftvk9, Namespace: default, Node: minikube-m04, Timestamp: 1718474136.100168
2024-06-15 17:55:41.050 Event: Pod Created, Pod: hello-1-instances-00001-deployment-64b76b59b6-dgxqs, Namespace: default, Node: None, Timestamp: 1718474141.0502841
2024-06-15 17:55:41.067 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-64b76b59b6-dgxqs, Namespace: default, Node: minikube-m02, Timestamp: 1718474141.0672996
2024-06-15 17:55:41.091 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-64b76b59b6-dgxqs, Namespace: default, Node: minikube-m02, Timestamp: 1718474141.0912008
2024-06-15 17:55:42.791 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-64b76b59b6-dgxqs, Namespace: default, Node: minikube-m02, Timestamp: 1718474142.7914808
2024-06-15 17:55:42.805 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-64b76b59b6-dgxqs, Namespace: default, Node: minikube-m02, Timestamp: 1718474142.8056707
2024-06-15 17:55:45.923 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-64b76b59b6-dgxqs, Namespace: default, Node: minikube-m02, Timestamp: 1718474145.9236956
2024-06-15 17:56:11.396 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-64b76b59b6-dgxqs, Namespace: default, Node: minikube-m02, Timestamp: 1718474171.3964958
2024-06-15 17:56:16.110 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-64b76b59b6-dgxqs, Namespace: default, Node: minikube-m02, Timestamp: 1718474176.1108928
2024-06-15 17:56:16.915 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-64b76b59b6-dgxqs, Namespace: default, Node: minikube-m02, Timestamp: 1718474176.9153237
2024-06-15 17:56:16.924 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-64b76b59b6-dgxqs, Namespace: default, Node: minikube-m02, Timestamp: 1718474176.924776
2024-06-15 17:56:22.225 Event: Pod Created, Pod: hello-1-instances-00001-deployment-6b468db684-4cbbk, Namespace: default, Node: None, Timestamp: 1718474182.2255025
2024-06-15 17:56:22.242 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b468db684-4cbbk, Namespace: default, Node: minikube-m03, Timestamp: 1718474182.2427235
2024-06-15 17:56:22.261 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b468db684-4cbbk, Namespace: default, Node: minikube-m03, Timestamp: 1718474182.2612796
2024-06-15 17:56:23.851 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b468db684-4cbbk, Namespace: default, Node: minikube-m03, Timestamp: 1718474183.8519168
2024-06-15 17:56:23.868 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b468db684-4cbbk, Namespace: default, Node: minikube-m03, Timestamp: 1718474183.868541
2024-06-15 17:56:27.003 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b468db684-4cbbk, Namespace: default, Node: minikube-m03, Timestamp: 1718474187.003674
2024-06-15 17:56:52.561 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b468db684-4cbbk, Namespace: default, Node: minikube-m03, Timestamp: 1718474212.5610113
2024-06-15 17:56:57.231 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b468db684-4cbbk, Namespace: default, Node: minikube-m03, Timestamp: 1718474217.2315617
2024-06-15 17:56:57.971 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b468db684-4cbbk, Namespace: default, Node: minikube-m03, Timestamp: 1718474217.9716191
2024-06-15 17:56:57.981 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6b468db684-4cbbk, Namespace: default, Node: minikube-m03, Timestamp: 1718474217.9811192
2024-06-15 17:57:03.279 Event: Pod Created, Pod: hello-5-instances-00001-deployment-5f6bc68c54-m9vm9, Namespace: default, Node: None, Timestamp: 1718474223.2794697
2024-06-15 17:57:03.293 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5f6bc68c54-m9vm9, Namespace: default, Node: minikube-m04, Timestamp: 1718474223.2938166
2024-06-15 17:57:03.321 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5f6bc68c54-m9vm9, Namespace: default, Node: minikube-m04, Timestamp: 1718474223.3214874
2024-06-15 17:57:03.410 Event: Pod Created, Pod: hello-5-instances-00001-deployment-5f6bc68c54-4qtrk, Namespace: default, Node: None, Timestamp: 1718474223.4106293
2024-06-15 17:57:03.432 Event: Pod Created, Pod: hello-5-instances-00001-deployment-5f6bc68c54-w27jl, Namespace: default, Node: None, Timestamp: 1718474223.4323695
2024-06-15 17:57:03.436 Event: Pod Created, Pod: hello-5-instances-00001-deployment-5f6bc68c54-dsfgf, Namespace: default, Node: None, Timestamp: 1718474223.4363484
2024-06-15 17:57:03.441 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5f6bc68c54-4qtrk, Namespace: default, Node: minikube-m02, Timestamp: 1718474223.4412982
2024-06-15 17:57:03.445 Event: Pod Created, Pod: hello-5-instances-00001-deployment-5f6bc68c54-gwqhz, Namespace: default, Node: None, Timestamp: 1718474223.4455845
2024-06-15 17:57:03.449 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5f6bc68c54-w27jl, Namespace: default, Node: minikube-m03, Timestamp: 1718474223.449963
2024-06-15 17:57:03.453 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5f6bc68c54-4qtrk, Namespace: default, Node: minikube-m02, Timestamp: 1718474223.4534276
2024-06-15 17:57:03.467 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5f6bc68c54-w27jl, Namespace: default, Node: minikube-m03, Timestamp: 1718474223.4674997
2024-06-15 17:57:03.470 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5f6bc68c54-dsfgf, Namespace: default, Node: minikube-m04, Timestamp: 1718474223.4703605
2024-06-15 17:57:03.482 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5f6bc68c54-dsfgf, Namespace: default, Node: minikube-m04, Timestamp: 1718474223.4827745
2024-06-15 17:57:03.487 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5f6bc68c54-gwqhz, Namespace: default, Node: minikube-m02, Timestamp: 1718474223.487489
2024-06-15 17:57:03.500 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5f6bc68c54-gwqhz, Namespace: default, Node: minikube-m02, Timestamp: 1718474223.50035
2024-06-15 17:57:04.411 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5f6bc68c54-m9vm9, Namespace: default, Node: minikube-m04, Timestamp: 1718474224.4112773
2024-06-15 17:57:04.427 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5f6bc68c54-m9vm9, Namespace: default, Node: minikube-m04, Timestamp: 1718474224.4273975
2024-06-15 17:57:05.051 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5f6bc68c54-w27jl, Namespace: default, Node: minikube-m03, Timestamp: 1718474225.051805
2024-06-15 17:57:05.064 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5f6bc68c54-w27jl, Namespace: default, Node: minikube-m03, Timestamp: 1718474225.064342
2024-06-15 17:57:05.087 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-5f6bc68c54-4qtrk, Namespace: default, Node: minikube-m02, Timestamp: 1718474225.0870874
